,Unnamed: 0,achievement_points,active_spec,average_item_level,character_class,equipped_item_level,faction,gender,guild,id,last_login,level,name,race,realm
35,35,10520.0,Frost,452.0,Mage,452.0,Alliance,Male,The Great Adventure,187318741.0,1586720163000.0,120.0,Meyeroid,Void Elf,dalaran
36,36,20655.0,Unholy,476.0,Death Knight,470.0,Alliance,Female,The Great Adventure,187354856.0,1599089310000.0,120.0,Arreeya,Human,dalaran
37,37,4425.0,Discipline,449.0,Priest,445.0,Alliance,Male,The Great Adventure,187357085.0,1575604855000.0,120.0,Cantharís,Night Elf,dalaran
38,38,14380.0,Havoc,475.0,Demon Hunter,472.0,Alliance,Male,The Great Adventure,187357230.0,1599131804000.0,120.0,Batmanaf,Night Elf,dalaran
39,39,15725.0,Retribution,476.0,Paladin,471.0,Alliance,Female,The Great Adventure,187357644.0,1592325267000.0,120.0,Tachypsychia,Draenei,dalaran
40,40,17235.0,Marksmanship,456.0,Hunter,451.0,Alliance,Female,The Great Adventure,187359837.0,1598989441000.0,120.0,Kagarå,Void Elf,dalaran
41,41,13550.0,Havoc,479.0,Demon Hunter,476.0,Alliance,Male,The Great Adventure,187376326.0,1599132503000.0,120.0,Supermanaf,Night Elf,dalaran
42,42,14115.0,Fury,484.0,Warrior,482.0,Alliance,Male,The Great Adventure,187461092.0,1599104286000.0,120.0,Gemmarom,Dwarf,dalaran
43,43,25830.0,Holy,483.0,Priest,479.0,Alliance,Female,The Great Adventure,187461314.0,1599127243000.0,120.0,Lissarellyn,Night Elf,dalaran
44,44,25830.0,Vengeance,306.0,Demon Hunter,306.0,Alliance,Female,The Great Adventure,187467153.0,1599108045000.0,120.0,Saelorellea,Night Elf,dalaran
45,45,1880.0,Beast Mastery,382.0,Hunter,382.0,Alliance,Male,The Great Adventure,187484063.0,1574106153000.0,120.0,Khaus,Void Elf,dalaran
46,46,11045.0,Frost,448.0,Death Knight,445.0,Alliance,Male,The Great Adventure,187493917.0,1589941834000.0,120.0,Anthellos,Worgen,dalaran
47,47,15670.0,Havoc,470.0,Demon Hunter,463.0,Alliance,Female,The Great Adventure,187564224.0,1591468490000.0,120.0,Rawrpeace,Night Elf,dalaran
48,48,11235.0,Fury,462.0,Warrior,460.0,Alliance,Male,The Great Adventure,187566347.0,1595971764000.0,120.0,Bábyrágé,Human,dalaran
49,49,13735.0,Havoc,377.0,Demon Hunter,377.0,Alliance,Male,The Great Adventure,187775277.0,1594902714000.0,120.0,Squeeke,Night Elf,dalaran
50,50,20090.0,Destruction,473.0,Warlock,468.0,Alliance,Female,The Great Adventure,187780179.0,1597609454000.0,120.0,Disupaja,Worgen,dalaran
0,0,11720.0,Elemental,405.0,Shaman,402.0,Horde,Male,Currently Online,191700198.0,1582494650000.0,120.0,Randomtotems,Orc,illidan
1,1,4650.0,Elemental,462.0,Shaman,459.0,Horde,Female,Currently Online,191737654.0,1598830302000.0,120.0,Tanithari,Zandalari Troll,illidan
2,2,13940.0,Elemental,436.0,Shaman,436.0,Horde,Female,Currently Online,191787116.0,1597453338000.0,120.0,Scoop,Vulpera,illidan
3,3,26920.0,Arcane,401.0,Mage,401.0,Horde,Female,Currently Online,191829982.0,1599104780000.0,120.0,Notri,Undead,illidan
4,4,11750.0,Assassination,446.0,Rogue,441.0,Horde,Male,Currently Online,191837241.0,1598374316000.0,120.0,Silentdread,Orc,illidan
5,5,9465.0,Havoc,465.0,Demon Hunter,456.0,Horde,Male,Currently Online,191853219.0,1598753497000.0,120.0,Ashkrael,Blood Elf,illidan
6,6,11175.0,Retribution,412.0,Paladin,412.0,Horde,Male,Currently Online,191884894.0,1595685741000.0,120.0,Ashorah,Blood Elf,illidan
7,7,12780.0,Outlaw,476.0,Rogue,472.0,Horde,Male,Currently Online,191896537.0,1598581560000.0,120.0,Kreighton,Orc,illidan
8,8,6375.0,Retribution,410.0,Paladin,410.0,Horde,Female,Currently Online,191973310.0,1580054391000.0,120.0,Fishchips,Blood Elf,illidan
9,9,21990.0,Unholy,469.0,Death Knight,468.0,Horde,Female,Currently Online,191997046.0,1593932021000.0,120.0,Stewïe,Vulpera,illidan
10,10,12205.0,Fury,444.0,Warrior,441.0,Horde,Female,Currently Online,192031395.0,1591293751000.0,120.0,Lyndiss,Blood Elf,illidan
11,11,10975.0,Windwalker,456.0,Monk,453.0,Horde,Male,Currently Online,192073903.0,1597795155000.0,120.0,Khaladinn,Zandalari Troll,illidan
12,12,11970.0,Retribution,454.0,Paladin,453.0,Horde,Male,Currently Online,192129630.0,1597078509000.0,120.0,Lightdeloa,Zandalari Troll,illidan
13,13,4615.0,Discipline,405.0,Priest,405.0,Horde,Female,Currently Online,192151780.0,1579538602000.0,120.0,Ezrii,Nightborne,illidan
14,14,16810.0,Affliction,466.0,Warlock,462.0,Horde,Female,Currently Online,192182004.0,1598566086000.0,120.0,Vanderella,Nightborne,illidan
15,15,12680.0,Fire,440.0,Mage,440.0,Horde,Male,Loyalties,203730618.0,1599139847000.0,120.0,Murtaj,Troll,illidan
16,16,13675.0,Frost,447.0,Death Knight,447.0,Horde,Female,Currently Online,192366519.0,1594419752000.0,120.0,Ballance,Blood Elf,illidan
17,17,7970.0,Discipline,470.0,Priest,467.0,Horde,Female,Currently Online,192406373.0,1598581588000.0,120.0,Pixtix,Goblin,illidan
18,18,17755.0,Destruction,438.0,Warlock,438.0,Horde,Female,Currently Online,192461132.0,1597806183000.0,120.0,Yhanny,Orc,illidan
19,19,12650.0,Retribution,406.0,Paladin,406.0,Horde,Male,Currently Online,192462511.0,1599078515000.0,120.0,Hawkron,Tauren,illidan
20,20,12230.0,Destruction,409.0,Warlock,409.0,Horde,Male,Currently Online,192465288.0,1594665515000.0,120.0,Destreús,Undead,illidan
21,21,19045.0,Outlaw,452.0,Rogue,451.0,Horde,Female,Currently Online,192509191.0,1599146109000.0,120.0,Noví,Orc,illidan
22,22,20805.0,Brewmaster,444.0,Monk,444.0,Horde,Male,Currently Online,192525363.0,1598988732000.0,120.0,Gokanaru,Zandalari Troll,illidan
23,23,12190.0,Balance,436.0,Druid,432.0,Horde,Male,Currently Online,192535823.0,1597889982000.0,120.0,Kauka,Tauren,illidan
24,24,24445.0,Affliction,391.0,Warlock,391.0,Horde,Female,Currently Online,192562717.0,1591177568000.0,120.0,Períod,Blood Elf,illidan
25,25,11350.0,Retribution,439.0,Paladin,439.0,Horde,Male,Currently Online,192584195.0,1582671958000.0,120.0,Maelorth,Blood Elf,illidan
26,26,14740.0,Mistweaver,395.0,Monk,395.0,Horde,Female,Currently Online,192696328.0,1583358406000.0,120.0,Rurî,Undead,illidan
27,27,10355.0,Brewmaster,462.0,Monk,455.0,Horde,Male,Currently Online,192696345.0,1583811408000.0,120.0,Tokkan,Blood Elf,illidan
28,28,5340.0,Beast Mastery,271.0,Hunter,271.0,Alliance,Female,Motivate me,180357046.0,1579182449000.0,120.0,Velide,Void Elf,whisperwind
29,29,19700.0,Balance,427.0,Druid,427.0,Alliance,Male,Motivate me,180362822.0,1591890374000.0,120.0,Wicker,Kul Tiran,whisperwind
30,30,24420.0,Elemental,426.0,Shaman,423.0,Alliance,Female,Motivate me,180387847.0,1589079914000.0,120.0,Angrysham,Draenei,whisperwind
31,31,10985.0,Elemental,402.0,Shaman,401.0,Alliance,Male,Motivate me,180917961.0,1597714399000.0,120.0,Obviously,Kul Tiran,whisperwind
32,32,30220.0,Destruction,412.0,Warlock,407.0,Alliance,Female,Motivate me,181062390.0,1598842714000.0,120.0,Sasself,Void Elf,whisperwind
33,33,5175.0,Fire,480.0,Mage,477.0,Alliance,Male,Motivate me,181658982.0,1599102763000.0,120.0,Durians,Night Elf,whisperwind
34,34,23275.0,Mistweaver,418.0,Monk,418.0,Alliance,Male,Motivate me,181684491.0,1590433075000.0,120.0,Tomochonk,Kul Tiran,whisperwind
35,35,10985.0,Havoc,405.0,Demon Hunter,404.0,Alliance,Male,Motivate me,181761481.0,1597714419000.0,120.0,Doubt,Night Elf,whisperwind
36,36,24900.0,Retribution,461.0,Paladin,460.0,Alliance,Female,Motivate me,182241459.0,1598917725000.0,120.0,Meshuga,Lightforged Draenei,dentarg
37,37,16790.0,Marksmanship,459.0,Hunter,459.0,Alliance,Male,Motivate me,182882916.0,1598413633000.0,120.0,Chesty,Void Elf,whisperwind
38,38,16895.0,Protection,334.0,Paladin,334.0,Alliance,Female,Motivate me,182896886.0,1598302246000.0,120.0,Gaslight,Lightforged Draenei,whisperwind
39,39,3945.0,Frost,400.0,Death Knight,397.0,Alliance,Male,Motivate me,183158940.0,1565279780000.0,120.0,Toothpick,Gnome,whisperwind
40,40,10985.0,Fire,400.0,Mage,399.0,Alliance,Female,Motivate me,183175847.0,1597714489000.0,120.0,Incant,Gnome,whisperwind
41,41,1085.0,Frost,371.0,Mage,369.0,Alliance,Male,Motivate me,183414959.0,1574099539000.0,120.0,Jintech,Human,whisperwind
42,42,23520.0,Assassination,270.0,Rogue,270.0,Alliance,Male,Motivate me,183493468.0,1587253685000.0,120.0,Sommanus,Night Elf,whisperwind
43,43,15985.0,Fury,262.0,Warrior,260.0,Alliance,Female,Motivate me,183586668.0,1592967648000.0,120.0,Kal,Gnome,whisperwind
44,44,14555.0,Arms,405.0,Warrior,405.0,Alliance,Male,Motivate me,183889156.0,1587890267000.0,120.0,Fimbulwínter,Human,whisperwind
45,45,5875.0,Havoc,375.0,Demon Hunter,375.0,Alliance,Male,Motivate me,184238512.0,1599096837000.0,120.0,Illuzíonist,Night Elf,whisperwind
46,46,18405.0,Restoration,479.0,Shaman,472.0,Alliance,Male,Motivate me,184463556.0,1597715244000.0,120.0,Xodius,Draenei,dentarg
47,47,26300.0,Havoc,387.0,Demon Hunter,387.0,Alliance,Male,Motivate me,184468825.0,1591828079000.0,120.0,Balrog,Night Elf,dentarg
48,48,26340.0,Protection,483.0,Paladin,480.0,Alliance,Male,Motivate me,184469387.0,1599083386000.0,120.0,Thorgon,Lightforged Draenei,dentarg
49,49,26340.0,Shadow,479.0,Priest,476.0,Alliance,Male,Motivate me,184475098.0,1599070905000.0,120.0,Polpheonius,Human,whisperwind
0,0,6485.0,Discipline,437.0,Priest,434.0,Alliance,Female,RUINOUS,174422969.0,1590393903000.0,120.0,Lyiron,Human,kelthuzad
1,1,1110.0,Protection,438.0,Paladin,437.0,Alliance,Female,RUINOUS,181822932.0,1592714620000.0,120.0,Pantydin,Human,kelthuzad
2,2,15730.0,Holy,478.0,Paladin,476.0,Alliance,Male,RUINOUS,180020681.0,1593128729000.0,120.0,Napalmdeath,Dwarf,kelthuzad
3,3,14610.0,Holy,484.0,Priest,482.0,Horde,Female,Defenestrate,155693510.0,1598573007000.0,120.0,Lys,Nightborne,tichondrius
4,4,19155.0,Blood,479.0,Death Knight,477.0,Horde,Female,Defenestrate,167080686.0,1593534955000.0,120.0,Stevezy,Blood Elf,tichondrius
5,5,19165.0,Protection,478.0,Paladin,474.0,Horde,Male,Defenestrate,170354327.0,1597542725000.0,120.0,Steveze,Blood Elf,tichondrius
6,6,16930.0,Discipline,479.0,Priest,477.0,Horde,Male,Defenestrate,177297227.0,1599068349000.0,120.0,Diabloluckie,Undead,tichondrius
7,7,24740.0,Frost,482.0,Death Knight,479.0,Horde,Male,Defenestrate,179599525.0,1599135685000.0,120.0,Paxuun,Blood Elf,tichondrius
8,8,16425.0,Beast Mastery,477.0,Hunter,474.0,Horde,Male,Defenestrate,179960559.0,1597508395000.0,120.0,Balrouge,Orc,tichondrius
9,9,24625.0,Windwalker,479.0,Monk,471.0,Horde,Male,Defenestrate,179993790.0,1598415829000.0,120.0,Lixeirinho,Orc,tichondrius
10,10,14610.0,Feral,420.0,Druid,420.0,Horde,Female,Defenestrate,181781054.0,1596436357000.0,120.0,Kvzn,Tauren,tichondrius
11,11,17895.0,Brewmaster,484.0,Monk,479.0,Horde,Male,Defenestrate,184783811.0,1599096583000.0,120.0,Rathvon,Vulpera,tichondrius
12,12,21435.0,Retribution,445.0,Paladin,444.0,Horde,Female,Defenestrate,187651154.0,1580687723000.0,120.0,Dalonn,Blood Elf,tichondrius
13,13,13300.0,Destruction,440.0,Warlock,440.0,Horde,Male,Defenestrate,189088558.0,1599124835000.0,120.0,Momofukuando,Troll,tichondrius
14,14,17895.0,Protection,480.0,Warrior,477.0,Horde,Male,Defenestrate,190376887.0,1599097002000.0,120.0,Rathwall,Vulpera,tichondrius
15,15,9760.0,Fire,475.0,Mage,472.0,Horde,Female,Defenestrate,191904602.0,1596253877000.0,120.0,Magemanschex,Nightborne,tichondrius
16,16,1805.0,Holy,448.0,Paladin,439.0,Horde,Female,Defenestrate,192083728.0,1574229836000.0,120.0,Zoogix,Blood Elf,tichondrius
17,17,19715.0,Elemental,479.0,Shaman,477.0,Horde,Female,Defenestrate,192085933.0,1599041144000.0,120.0,Newsh,Pandaren,tichondrius
18,18,33455.0,Restoration,483.0,Druid,386.0,Horde,Male,Defenestrate,192086064.0,1599115510000.0,120.0,Dirtyb,Zandalari Troll,tichondrius
19,19,32975.0,Beast Mastery,483.0,Hunter,481.0,Horde,Female,Defenestrate,192086068.0,1599098198000.0,120.0,Taterpuffs,Blood Elf,tichondrius
20,20,17175.0,Havoc,484.0,Demon Hunter,482.0,Horde,Female,Defenestrate,192086097.0,1598991125000.0,120.0,Triutoz,Blood Elf,tichondrius
21,21,23970.0,Mistweaver,485.0,Monk,480.0,Horde,Female,Defenestrate,192094938.0,1599105977000.0,120.0,Peachpies,Blood Elf,tichondrius
22,22,27890.0,Beast Mastery,484.0,Hunter,480.0,Horde,Male,Defenestrate,192097290.0,1599120173000.0,120.0,Enragen,Orc,tichondrius
23,23,22690.0,Elemental,458.0,Shaman,454.0,Horde,Male,Defenestrate,192097340.0,1597438840000.0,120.0,Tyranusrex,Tauren,tichondrius
24,24,15000.0,Havoc,483.0,Demon Hunter,480.0,Horde,Female,Defenestrate,192097397.0,1599009089000.0,120.0,Vorrdh,Blood Elf,tichondrius
25,25,31610.0,Fire,484.0,Mage,481.0,Horde,Female,Defenestrate,192099461.0,1598996332000.0,120.0,Darckli,Undead,tichondrius
26,26,16340.0,Destruction,485.0,Warlock,479.0,Horde,Male,Defenestrate,192100568.0,1598482807000.0,120.0,Barbedbash,Troll,tichondrius
27,27,19770.0,Guardian,450.0,Druid,448.0,Horde,Female,Defenestrate,192104118.0,1597015065000.0,120.0,Bumblesbear,Tauren,tichondrius
28,28,19725.0,Destruction,430.0,Warlock,428.0,Horde,Female,Defenestrate,192104337.0,1589157859000.0,120.0,Tarna,Troll,tichondrius
29,29,19725.0,Beast Mastery,441.0,Hunter,440.0,Horde,Male,Defenestrate,192104349.0,1589142634000.0,120.0,Morefien,Zandalari Troll,tichondrius
30,30,20090.0,Destruction,484.0,Warlock,481.0,Horde,Female,Defenestrate,192105110.0,1598831849000.0,120.0,Necrons,Troll,tichondrius
31,31,19280.0,Assassination,483.0,Rogue,482.0,Horde,Female,Defenestrate,192105156.0,1598853007000.0,120.0,Pukaa,Blood Elf,tichondrius
32,32,23855.0,Arms,484.0,Warrior,418.0,Horde,Female,Defenestrate,192107387.0,1598828689000.0,120.0,Drennalin,Zandalari Troll,tichondrius
33,33,18955.0,Outlaw,390.0,Rogue,388.0,Horde,Female,Defenestrate,192108410.0,1590298376000.0,120.0,Xionshinobi,Blood Elf,tichondrius
34,34,5960.0,Elemental,433.0,Shaman,428.0,Horde,Female,Defenestrate,192108705.0,1571540880000.0,120.0,Zigex,Goblin,tichondrius
35,35,18755.0,Outlaw,445.0,Rogue,437.0,Horde,Female,Defenestrate,192119385.0,1596784279000.0,120.0,Karmesin,Blood Elf,tichondrius
36,36,28930.0,Blood,484.0,Death Knight,480.0,Horde,Male,Defenestrate,192122118.0,1599012160000.0,120.0,Runtasticxz,Orc,tichondrius
37,37,23670.0,Vengeance,483.0,Demon Hunter,482.0,Horde,Female,Defenestrate,192124207.0,1599019343000.0,120.0,Rarysa,Blood Elf,tichondrius
38,38,24110.0,Feral,482.0,Druid,478.0,Horde,Female,Defenestrate,192128218.0,1599109240000.0,120.0,Myune,Tauren,tichondrius
39,39,18955.0,Windwalker,417.0,Monk,416.0,Horde,Female,Defenestrate,192128459.0,1590298341000.0,120.0,Xionchi,Blood Elf,tichondrius
40,40,27095.0,Balance,484.0,Druid,482.0,Horde,Female,Defenestrate,192130137.0,1598503056000.0,120.0,Jaytko,Troll,tichondrius
41,41,19715.0,Destruction,484.0,Warlock,479.0,Horde,Female,Defenestrate,192140471.0,1599092211000.0,120.0,Newshie,Troll,tichondrius
42,42,14945.0,Shadow,446.0,Priest,439.0,Horde,Male,Defenestrate,192141221.0,1592114943000.0,120.0,Vorrxsp,Troll,tichondrius
43,43,27295.0,Fire,424.0,Mage,424.0,Horde,Male,Defenestrate,192143669.0,1577829720000.0,120.0,Skrietard,Undead,tichondrius
44,44,26615.0,Outlaw,483.0,Rogue,478.0,Horde,Male,Defenestrate,192147161.0,1599147267000.0,120.0,Meatycritz,Orc,tichondrius
45,45,24250.0,Outlaw,465.0,Rogue,461.0,Horde,Female,Defenestrate,192160393.0,1599093801000.0,120.0,Sinist,Blood Elf,tichondrius
46,46,18785.0,Retribution,482.0,Paladin,480.0,Horde,Male,Defenestrate,192161579.0,1599091270000.0,120.0,Reghame,Blood Elf,tichondrius
0,0,9755.0,Retribution,410.0,Paladin,410.0,Alliance,Female,Lionz,194980927.0,1584656405000.0,120.0,Lizash,Human,gallywix
1,1,11245.0,Protection,474.0,Paladin,472.0,Alliance,Male,Lionz,194994570.0,1594696242000.0,120.0,Rathy,Lightforged Draenei,gallywix
2,2,7120.0,Balance,453.0,Druid,449.0,Alliance,Male,Lionz,195007773.0,1598761836000.0,120.0,Klemim,Night Elf,gallywix
3,3,17300.0,Discipline,391.0,Priest,374.0,Alliance,Male,Lionz,195011619.0,1582253733000.0,120.0,Viccius,Lightforged Draenei,gallywix
4,4,8040.0,Vengeance,441.0,Demon Hunter,440.0,Alliance,Female,Lionz,195090848.0,1596503338000.0,120.0,Lyndâ,Night Elf,gallywix
5,5,9570.0,Outlaw,385.0,Rogue,385.0,Alliance,Female,Lionz,195276249.0,1594965716000.0,120.0,Stëalth,Void Elf,gallywix
6,6,21800.0,Outlaw,445.0,Rogue,445.0,Alliance,Male,Lionz,195294908.0,1598802743000.0,120.0,Kellan,Void Elf,gallywix
7,7,6125.0,Restoration,406.0,Druid,406.0,Alliance,Female,Lionz,195440012.0,1589595283000.0,120.0,Kitzuné,Night Elf,gallywix
8,8,16595.0,Windwalker,447.0,Monk,443.0,Alliance,Male,Lionz,195581841.0,1585887108000.0,120.0,Goodon,Pandaren,gallywix
9,9,16380.0,Discipline,380.0,Priest,380.0,Alliance,Male,Lionz,195706154.0,1598071008000.0,120.0,Raiddenn,Lightforged Draenei,gallywix
10,10,16670.0,Outlaw,456.0,Rogue,454.0,Alliance,Female,Lionz,195876732.0,1599146652000.0,120.0,Metalhäir,Void Elf,gallywix
11,11,14435.0,Arms,387.0,Warrior,383.0,Alliance,Male,Lionz,195903780.0,1598208603000.0,120.0,Sverr,Dwarf,gallywix
12,12,15015.0,Assassination,352.0,Rogue,352.0,Alliance,Female,Lionz,195930831.0,1592340988000.0,120.0,Miräcle,Void Elf,gallywix
13,13,4880.0,Demonology,400.0,Warlock,399.0,Alliance,Male,Lionz,195979332.0,1574236522000.0,120.0,Shazenberg,Worgen,gallywix
14,14,21800.0,Beast Mastery,448.0,Hunter,448.0,Alliance,Male,Lionz,196045849.0,1598806783000.0,120.0,Nayethas,Night Elf,gallywix
15,15,7615.0,Havoc,474.0,Demon Hunter,474.0,Alliance,Male,A Ordem de Nakuludu,196271024.0,1599120354000.0,120.0,Antheon,Night Elf,gallywix
16,16,2775.0,Destruction,428.0,Warlock,428.0,Alliance,Male,Lionz,196277928.0,1598643850000.0,120.0,Diegodamas,Human,gallywix
17,17,13560.0,Beast Mastery,481.0,Hunter,478.0,Alliance,Female,Lionz,196392570.0,1599004797000.0,120.0,Lannyë,Human,gallywix
18,18,3840.0,Arms,479.0,Warrior,474.0,Alliance,Male,Lionz,196565611.0,1599101604000.0,120.0,Manndi,Human,gallywix
19,19,13150.0,Arms,439.0,Warrior,439.0,Alliance,Male,Lionz,196585521.0,1588640773000.0,120.0,Gurdfieff,Human,gallywix
20,20,14430.0,Mistweaver,459.0,Monk,458.0,Alliance,Male,Lionz,196862079.0,1599115798000.0,120.0,Bouncelee,Dark Iron Dwarf,gallywix
21,21,9570.0,Protection,354.0,Warrior,353.0,Alliance,Male,Lionz,196901366.0,1594962986000.0,120.0,Ironförged,Dark Iron Dwarf,gallywix
22,22,31450.0,Elemental,450.0,Shaman,450.0,Alliance,Female,Lionz,196916212.0,1599116012000.0,120.0,Ygnis,Dark Iron Dwarf,gallywix
23,23,11265.0,Balance,407.0,Druid,407.0,Alliance,Female,Lionz,197110671.0,1590991466000.0,120.0,Saturnø,Night Elf,gallywix
24,24,18135.0,Outlaw,436.0,Rogue,436.0,Alliance,Male,Lionz,197137435.0,1591310184000.0,120.0,Excaldùrs,Void Elf,gallywix
25,25,9570.0,Vengeance,410.0,Demon Hunter,410.0,Alliance,Female,Lionz,197276415.0,1594929089000.0,120.0,Ëxcedunt,Night Elf,gallywix
26,26,9570.0,Brewmaster,348.0,Monk,348.0,Alliance,Female,Lionz,197365128.0,1594934966000.0,120.0,Exïstence,Void Elf,gallywix
27,27,6640.0,Restoration,460.0,Shaman,460.0,Alliance,Male,Lionz,197426278.0,1596419821000.0,120.0,Mîxú,Dark Iron Dwarf,gallywix
28,28,17585.0,Enhancement,452.0,Shaman,452.0,Alliance,Male,Flaming War Kittens,217997243.0,1598718751000.0,120.0,Daromar,Dark Iron Dwarf,lothar
29,29,13365.0,Shadow,340.0,Priest,340.0,Alliance,Female,Flaming War Kittens,218014564.0,1597163927000.0,120.0,Worsthealer,Void Elf,lothar
30,30,13635.0,Mistweaver,459.0,Monk,455.0,Alliance,Male,Flaming War Kittens,217994901.0,1598759265000.0,120.0,Curaga,Void Elf,lothar
